#NCP15XH103F03RC Temp, NCP15XH103F03RC Voltage w/10k to gnd @3.3V
-20.0,0.24987674090871842
-19.0,0.2612700816258303
-18.0,0.27305157151455545
-17.0,0.28522664016819177
-16.0,0.2978005984831382
-15.0,0.31077901940865105
-14.0,0.3241666216435247
-13.0,0.33796736252814125
-12.0,0.35218468110245166
-11.0,0.36682194147415087
-10.0,0.3818815674390529
-9.0,0.39743844511823795
-8.0,0.4134206110178815
-7.0,0.4298302170642596
-6.0,0.4466676432518365
-5.0,0.46393063987508787
-4.0,0.48161948435642943
-3.0,0.4997313272434175
-2.0,0.5182646493354509
-1.0,0.5372135943921832
0.0,0.55657627788118
1.0,0.5762795885487668
2.0,0.5963889610327149
3.0,0.616897008049511
4.0,0.6377966525962782
5.0,0.6590813256747611
6.0,0.6807451597555173
7.0,0.7027725510643604
8.0,0.7251603345094446
9.0,0.7478950373545425
10.0,0.7709684773372573
11.0,0.7943999077471076
12.0,0.8181434302202829
13.0,0.8421777085521789
14.0,0.8664946100308397
15.0,0.8910819939157305
16.0,0.9159177643727687
17.0,0.9409907722195241
18.0,0.9662889827470662
19.0,0.9917884184707262
20.0,1.017477640108312
21.0,1.0432968179447055
22.0,1.0692912208891214
23.0,1.095438617155982
24.0,1.121732050779483
25.0,1.1481481481481484
26.0,1.1746725442396837
27.0,1.2012787806374527
28.0,1.227965933848287
29.0,1.2547051442910915
30.0,1.281477143546109
31.0,1.3081916711796935
32.0,1.3348931008992586
33.0,1.3615501174885989
34.0,1.3881529356449314
35.0,1.4146745868161457
36.0,1.4411119805992236
37.0,1.4674440438339738
38.0,1.4936639737886064
39.0,1.519732004248713
40.0,1.5456721180694055
41.0,1.5715166825789773
42.0,1.5971971765675717
43.0,1.6227109742372825
44.0,1.648015735892188
45.0,1.6731283001556188
46.0,1.6980253608303892
47.0,1.7226847949912476
48.0,1.7471186631724294
49.0,1.7712936157245163
50.0,1.7952108407570768
51.0,1.8188574446030783
52.0,1.8422407987005274
53.0,1.8653348576930022
54.0,1.8881331844482796
55.0,1.9106317411402158
56.0,1.932849081896686
57.0,1.954767109466958
58.0,1.976347582161869
59.0,1.9976372033079155
60.0,2.0186015215480286
61.0,2.03893712181005
62.0,2.0589570165048654
63.0,2.0786303390626046
64.0,2.0979730872914715
65.0,2.1169802301362375
66.0,2.1356481003065686
67.0,2.153999374645343
68.0,2.1720091084252933
69.0,2.189703683646681
70.0,2.2070602195194304
71.0,2.2241620529254904
72.0,2.2409368561824556
73.0,2.2573911354920146
74.0,2.273532898998912
75.0,2.2893716536402238
76.0,2.3048898361793353
77.0,2.3200698515654237
78.0,2.334982048256296
79.0,2.349552827042595
80.0,2.363855881044672
81.0,2.377786868480262
82.0,2.391452485953431
83.0,2.4048096192384767
84.0,2.4178766882888976
85.0,2.430705296585251
